,hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score,num_review,review_score
8346,35118,8.6,7.9,8.5,8.1,-1.0,8.3,8.0,8.2,18,6.37
8347,35119,9.2,8.5,8.3,9.2,-1.0,9.1,8.6,9.0,163,5.23
8348,35120,8.5,-1.0,8.0,8.8,-1.0,8.0,-1.0,8.3,-1,-1.0
8349,35121,8.6,7.6,8.8,9.0,-1.0,8.8,8.2,8.65,4,9.4
8350,35122,8.8,-1.0,8.9,8.6,-1.0,8.5,8.1,8.6,82,6.1
8351,35123,9.1,-1.0,9.4,9.3,-1.0,9.1,8.3,8.85,125,4.26
8352,35124,9.0,8.8,9.4,9.0,9.0,9.1,8.8,9.05,36,5.22
8353,35125,9.2,8.8,8.7,9.1,-1.0,9.2,8.7,8.9,85,8.19
8354,35126,9.3,8.0,9.0,9.4,-1.0,9.3,9.2,9.2,7,5.71
8355,35127,8.7,10.0,8.8,8.8,-1.0,8.7,7.8,8.65,24,8.45
8356,35128,7.3,8.0,7.8,7.3,-1.0,7.6,6.7,7.05,79,3.37
8357,35129,8.6,7.4,8.9,8.8,9.2,9.2,9.2,8.8,-1,-1.0
8358,35130,9.2,8.8,9.2,9.3,-1.0,9.3,8.6,9.05,77,8.98
8359,35131,9.1,8.8,8.5,9.1,-1.0,9.2,8.7,8.6,149,4.49
8360,35132,9.2,8.8,9.0,9.4,-1.0,9.3,8.8,9.1,212,9.17
8361,35133,9.1,8.7,9.0,9.0,-1.0,8.9,8.5,8.95,42,9.25
8362,35134,9.3,8.7,8.0,9.2,-1.0,9.1,-1.0,8.8,95,3.63
8363,35136,8.2,7.4,9.2,7.9,8.8,8.2,8.3,8.0,59,2.62
8364,35137,8.3,-1.0,9.1,-1.0,-1.0,8.7,7.8,8.35,13,8.28
8365,35138,8.7,8.4,9.3,8.7,-1.0,8.8,8.1,8.9,216,7.51
8366,35139,8.8,8.2,8.5,8.7,-1.0,8.7,7.8,8.55,66,3.75
8367,35140,5.9,7.4,7.4,6.3,-1.0,6.2,5.4,6.35,5,4.88
8368,35142,9.4,8.5,8.8,9.2,-1.0,9.3,8.9,9.1,221,3.91
8369,35143,8.9,9.5,8.5,8.9,-1.0,8.9,8.3,8.6,42,5.02
8370,35144,9.1,8.4,8.4,9.0,-1.0,8.9,8.4,8.8,63,6.16
8371,35145,9.2,-1.0,8.6,-1.0,-1.0,9.3,8.5,9.0,16,9.35
8372,35146,8.2,8.6,8.9,8.3,-1.0,8.3,-1.0,8.75,4,9.48
8373,35147,8.4,8.5,8.9,8.9,-1.0,8.8,7.8,8.5,3,9.2
8374,35148,8.9,8.3,9.3,8.8,-1.0,8.9,8.1,8.8,-1,-1.0
8375,35149,8.5,8.4,9.2,8.5,-1.0,8.8,7.8,8.65,-1,-1.0
8376,35150,8.6,8.0,8.5,8.5,-1.0,8.4,-1.0,7.45,44,3.28
8377,35151,9.4,-1.0,9.2,8.5,-1.0,8.8,4.7,8.9,19,3.6
8378,35152,9.0,8.6,8.2,9.2,-1.0,8.9,8.3,8.65,18,7.12
8379,35153,9.0,8.7,8.0,9.3,-1.0,8.8,8.1,8.35,166,3.81
8380,35154,7.8,6.8,8.4,8.2,-1.0,7.9,7.1,7.9,10,8.04
8381,35155,8.4,8.4,8.7,9.0,8.3,8.4,6.8,8.75,144,3.71
8382,35156,7.7,-1.0,7.4,-1.0,8.2,7.8,6.8,7.95,-1,-1.0
8383,35157,8.6,8.0,8.8,8.5,8.3,8.9,8.2,8.6,-1,-1.0
8384,35158,8.9,-1.0,7.3,-1.0,-1.0,9.5,8.7,8.6,17,5.81
8385,35159,8.2,7.8,8.6,8.2,-1.0,8.1,-1.0,8.15,57,3.17
8386,35160,8.3,8.0,8.0,8.5,-1.0,8.1,7.5,8.2,150,3.32
8387,35161,8.0,8.0,7.9,8.0,-1.0,7.8,-1.0,8.45,-1,-1.0
8388,35162,8.6,7.9,9.1,8.6,-1.0,8.3,8.2,8.6,-1,-1.0
8389,35163,9.0,8.5,8.9,9.3,-1.0,9.0,8.1,9.0,79,4.01
8390,35164,8.2,8.0,8.3,9.3,7.8,8.6,7.7,7.8,4,5.5
