,hotel_id,breakfast,wifi,carpark,airport,restaurant,deposit_box,baby,bar,laundry,tour,spa,pool
9264,36207,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9265,36208,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9266,36209,-1,1,0,0,1,0,1,1,0,-1,-1,1
9267,36210,-1,0,0,1,1,0,0,0,0,0,0,0
9268,36211,-1,1,0,0,1,0,1,1,0,-1,-1,1
9269,36212,-1,1,0,1,0,1,1,1,1,-1,-1,1
9270,36213,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9271,36214,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9272,36215,-1,1,0,0,1,0,1,1,0,-1,-1,1
9273,36217,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9274,36219,-1,1,0,1,1,0,1,1,1,1,1,1
9275,36220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9276,36223,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9277,36224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9278,36227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9279,36228,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9280,36229,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1
9281,36230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9282,36231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9283,36232,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9284,36233,-1,1,0,1,0,1,0,0,1,0,0,0
9285,36235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9286,36236,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9287,36237,-1,1,0,1,1,1,0,0,1,1,0,0
9288,36238,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9289,36239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9290,36240,-1,1,0,0,0,0,0,0,1,-1,-1,-1
9291,36242,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9292,36243,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9293,36244,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9294,36246,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9295,36248,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9296,36249,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9297,36250,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9298,36251,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9299,36252,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9300,36253,-1,1,0,0,0,0,-1,0,1,1,0,-1
9301,36254,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9302,36255,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9303,36256,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9304,36257,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9305,36258,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9306,36259,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9307,36260,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9308,36261,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9309,36262,-1,1,0,0,0,0,0,0,0,0,0,0
9310,36263,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9311,36264,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9312,36265,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9313,36266,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9314,36267,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9315,36268,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
9316,36269,-1,1,0,0,0,0,0,0,0,0,0,0
9317,36270,-1,1,0,0,0,0,0,0,0,0,0,-1
9318,36271,-1,1,0,1,0,1,0,0,1,-1,-1,-1
9319,36272,-1,1,0,1,0,1,0,0,1,1,0,1
9320,36273,-1,1,0,1,0,1,0,0,1,1,0,1
9321,36274,-1,1,0,1,0,1,0,0,1,1,0,1
9322,36275,-1,1,0,1,0,1,0,0,1,-1,-1,-1
9323,36277,-1,1,0,0,0,1,0,0,1,-1,-1,-1
9324,36278,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9325,36279,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9326,36280,-1,1,0,1,0,1,0,0,1,1,0,1
9327,36281,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9328,36282,-1,1,1,0,0,0,-1,0,1,1,0,-1
